timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1683613501.274250 0.00003190 0.00000096 0.00097680 -0.00001384 0.00034186 -0.00008811
1683613501.340949 0.00007841 -0.00000106 0.00087165 -0.00000618 0.00033773 -0.00008598
1683613501.407648 0.00005513 -0.00000706 0.00456804 -0.00005072 0.00015365 -0.00012031
1683613501.474347 0.00005158 -0.00000793 0.00473544 -0.00002880 0.00012992 -0.00010037
1683613501.541046 0.00004483 -0.00000772 0.00414668 -0.00005561 0.00015708 -0.00007342
1683613501.607745 0.00003646 -0.00000903 0.00404975 -0.00007352 0.00017792 -0.00006966
1683613501.674444 0.00003213 -0.00000981 0.00408495 -0.00007219 0.00013908 -0.00006574
1683613501.741143 0.00002829 -0.00000999 0.00385906 -0.00006963 0.00012212 -0.00005865
1683613501.807842 0.00002423 -0.00001019 0.00376390 -0.00004202 0.00011812 -0.00004393
1683613501.874542 0.00001512 -0.00000907 0.00358727 -0.00002413 0.00012293 -0.00003396
1683613501.941246 0.00000465 -0.00000796 0.00356300 0.00000042 0.00012532 -0.00003595
1683613502.007957 -0.00000584 -0.00000508 0.00330901 -0.00000787 0.00012321 -0.00002758
1683613502.074667 -0.00001685 -0.00000370 0.00338073 -0.00000786 0.00010785 -0.00000970
1683613502.141378 -0.00002678 -0.00000208 0.00351876 0.00001730 0.00005487 0.00000953
1683613502.208089 -0.00003180 -0.00000075 0.00340340 0.00002324 0.00000734 0.00002383
1683613502.274801 -0.00004207 0.00000444 0.00305024 -0.00001615 0.00003963 0.00002824
1683613502.341513 -0.00004781 0.00000457 0.00336556 -0.00002867 0.00003504 0.00002612
1683613502.408225 -0.00005659 0.00001040 0.00313354 -0.00000933 0.00001275 0.00003381
1683613502.474937 -0.00006188 0.00002095 0.00291314 -0.00003331 0.00005292 0.00004773
1683613502.541650 -0.00007129 0.00002072 0.00319639 -0.00005391 0.00006309 0.00004976
1683613502.608363 -0.00008164 0.00003377 0.00295602 -0.00005433 0.00005414 0.00005320
1683613502.675076 -0.00009000 0.00004801 0.00282795 -0.00008216 0.00006981 0.00006329
1683613502.741790 -0.00009828 0.00004846 0.00306135 -0.00009345 0.00007317 0.00007917
1683613502.808503 -0.00010172 0.00006994 0.00272299 -0.00009393 0.00007324 0.00008763
1683613502.875217 -0.00011019 0.00008763 0.00282843 -0.00009136 0.00004672 0.00008542
1683613502.941968 -0.00011938 0.00007725 0.00308236 -0.00003077 -0.00001915 0.00009412
1683613503.008758 -0.00007792 0.00018125 0.00208324 -0.00004775 0.00005581 0.00010364
1683613503.075552 -0.00009977 0.00017139 0.00306683 -0.00005398 0.00006879 0.00009803
1683613503.142349 -0.00010322 0.00020281 0.00257973 -0.00001748 0.00003921 0.00010274
1683613503.209150 -0.00008551 0.00024580 0.00252340 -0.00004959 0.00007318 0.00009328
1683613503.275954 -0.00010798 0.00025527 0.00279450 -0.00004510 0.00005898 0.00008526
1683613503.342762 -0.00009468 0.00028048 0.00264472 -0.00003672 0.00003824 0.00009125
1683613503.409574 -0.00008706 0.00031109 0.00263432 -0.00005084 0.00003350 0.00008969
1683613503.476389 -0.00007279 0.00036805 0.00243031 -0.00004683 0.00005421 0.00008541
1683613503.543207 -0.00006032 0.00038223 0.00272908 -0.00003586 0.00004871 0.00007478
1683613503.610029 -0.00006149 0.00041482 0.00260154 -0.00001390 0.00002855 0.00007248
1683613503.676856 0.00002955 0.00049633 0.00224216 -0.00002556 0.00007040 0.00007876
1683613503.743685 0.00001032 0.00050128 0.00275337 -0.00002663 0.00008043 0.00008148
1683613503.810518 0.00005042 0.00054399 0.00257758 -0.00000669 0.00004054 0.00008584
1683613503.877355 0.00009998 0.00057659 0.00249853 0.00000069 0.00004129 0.00008831
1683613503.944134 0.00012090 0.00060170 0.00247795 -0.00001439 0.00006092 0.00009241
1683613504.010857 0.00017583 0.00064915 0.00251304 -0.00002339 0.00005950 0.00009625
1683613504.077579 0.00018972 0.00067012 0.00252888 -0.00001716 0.00006282 0.00010183
1683613504.144302 0.00026941 0.00075773 0.00227501 -0.00002680 0.00007401 0.00011079
1683613504.211025 0.00031180 0.00079525 0.00264436 -0.00001883 0.00005026 0.00011657
1683613504.277748 0.00034600 0.00083029 0.00256164 -0.00000017 0.00002096 0.00012337
1683613504.344471 0.00042248 0.00089265 0.00234169 -0.00001101 0.00002995 0.00012348
1683613504.411194 0.00047738 0.00097727 0.00219991 -0.00002989 0.00006899 0.00012278
1683613504.477917 0.00049512 0.00104393 0.00251815 -0.00003925 0.00007383 0.00012762
1683613504.544640 0.00054536 0.00107056 0.00271616 -0.00001663 0.00002709 0.00013270
1683613504.611364 0.00060121 0.00114518 0.00223984 -0.00001145 0.00002191 0.00013501
1683613504.678087 0.00063369 0.00122005 0.00234768 -0.00001822 0.00003891 0.00012957
1683613504.744811 0.00072964 0.00130092 0.00236531 -0.00001435 0.00002885 0.00013381
1683613504.811534 0.00076580 0.00139149 0.00211807 -0.00002261 0.00004268 0.00014569
1683613504.878258 0.00082733 0.00150993 0.00209276 -0.00004052 0.00006731 0.00014380
1683613504.944976 0.00084679 0.00161587 0.00226113 -0.00003751 0.00006435 0.00014013
1683613505.011689 0.00090709 0.00170016 0.00233117 -0.00002646 0.00004027 0.00014743
1683613505.078402 0.00098717 0.00188703 0.00167137 -0.00005607 0.00008073 0.00015502
1683613505.145114 0.00094642 0.00199841 0.00245716 -0.00005312 0.00008271 0.00015545
1683613505.211826 0.00103922 0.00208883 0.00225353 -0.00003467 0.00004572 0.00015115
1683613505.278538 0.00100902 0.00217675 0.00221845 -0.00003153 0.00003902 0.00015744
1683613505.345251 0.00113311 0.00226969 0.00251468 -0.00000156 -0.00000395 0.00017015
1683613505.411963 0.00136944 0.00234241 0.00203191 0.00000836 -0.00001320 0.00017343
1683613505.478675 0.00138181 0.00240590 0.00224554 0.00000103 0.00000311 0.00017475
1683613505.545387 0.00153765 0.00248152 0.00211997 -0.00001093 0.00001104 0.00017071
1683613505.612099 0.00161450 0.00256264 0.00220903 -0.00001018 0.00001321 0.00017191
1683613505.678810 0.00173846 0.00263787 0.00216006 -0.00001162 0.00001273 0.00017392
1683613505.745522 0.00186883 0.00272796 0.00212500 -0.00002099 0.00001780 0.00017237
1683613505.812233 0.00192446 0.00281180 0.00229583 -0.00001805 0.00000771 0.00017466
1683613505.878945 0.00211144 0.00290414 0.00200468 -0.00002594 0.00001348 0.00017574
1683613505.945655 0.00217415 0.00301201 0.00214867 -0.00002453 0.00001965 0.00017914
1683613506.012362 0.00226285 0.00311571 0.00217013 -0.00002071 0.00001136 0.00018062
1683613506.079070 0.00241444 0.00323536 0.00205103 -0.00002679 0.00001289 0.00018060
1683613506.145777 0.00246307 0.00335748 0.00210949 -0.00002699 0.00001471 0.00018556
1683613506.212484 0.00259707 0.00348965 0.00203332 -0.00003341 0.00001937 0.00018647
1683613506.279191 0.00262665 0.00360692 0.00214630 -0.00004258 0.00002037 0.00018806
1683613506.345898 0.00267987 0.00371813 0.00213099 -0.00004127 0.00001472 0.00018915
1683613506.412605 0.00275312 0.00385701 0.00194866 -0.00004072 0.00002688 0.00018998
1683613506.479312 0.00280591 0.00397956 0.00218778 -0.00003302 0.00002778 0.00019249
1683613506.546018 0.00296668 0.00414374 0.00193013 -0.00002787 0.00003419 0.00019083
1683613506.612724 0.00301962 0.00428606 0.00216612 -0.00002582 0.00003967 0.00018825
1683613506.679430 0.00319375 0.00438055 0.00221029 -0.00002120 0.00003003 0.00018596
1683613506.746136 0.00326768 0.00440590 0.00232442 -0.00001437 0.00001074 0.00018536
1683613506.812842 -0.00170432 -0.00765240 0.01184994 -0.00000499 -0.00068032 0.00012650
1683613506.879547 0.00687784 -0.00654340 -0.00444852 0.00002532 -0.00070728 0.00016197
1683613506.946255 0.00759954 -0.00561159 0.00043581 -0.00003423 0.00000063 0.00020534
1683613507.012966 0.00745856 -0.00543428 0.00283422 -0.00005720 0.00006176 0.00018941
1683613507.079676 0.00755689 -0.00519689 0.00180339 -0.00003971 0.00005236 0.00018818
1683613507.146386 0.00765973 -0.00498104 0.00250437 -0.00003969 0.00004139 0.00019015
1683613507.213096 0.00796848 -0.00518006 0.00284140 0.00002272 -0.00004537 0.00019724
1683613507.279805 0.00843135 -0.00499720 0.00151897 0.00001452 -0.00001286 0.00019840
1683613507.346515 0.00887412 -0.00503150 0.00256358 -0.00000102 0.00000722 0.00020092
1683613507.413225 0.00914599 -0.00554492 0.00290683 0.00002062 -0.00005666 0.00020608
1683613507.479934 0.00941680 -0.00688897 0.00390987 0.00004392 -0.00021523 0.00020462
1683613507.546644 0.01034793 -0.00762188 0.00141910 0.00003943 -0.00019972 0.00020313
1683613507.613353 0.01086436 -0.00825447 0.00253253 0.00002510 -0.00012759 0.00020174
1683613507.680062 0.01128049 -0.00851383 0.00190035 0.00001588 -0.00007707 0.00020290
1683613507.746772 0.01155515 -0.00836631 0.00186015 -0.00001406 -0.00000546 0.00020382
1683613507.813480 0.01177688 -0.00845054 0.00254096 0.00000234 -0.00000756 0.00020549
1683613507.880189 0.01212330 -0.00856184 0.00228375 0.00001636 -0.00002190 0.00020783
1683613507.946902 0.01241798 -0.00861327 0.00221764 0.00000866 -0.00001326 0.00021166
1683613508.013618 0.01262383 -0.00867939 0.00231492 0.00000893 -0.00000955 0.00021706
1683613508.080334 0.01290386 -0.00874967 0.00235254 0.00000665 -0.00001317 0.00021651
1683613508.147051 0.01314321 -0.00880263 0.00213485 -0.00000624 0.00000122 0.00021790
1683613508.213767 0.01335635 -0.00890631 0.00251827 -0.00000551 -0.00000422 0.00022041
1683613508.280483 0.01361751 -0.00901841 0.00227758 -0.00000330 -0.00001034 0.00022288
1683613508.347200 0.01373508 -0.00916652 0.00234381 -0.00000859 -0.00000087 0.00022811
1683613508.413916 0.01392138 -0.00912783 0.00223431 -0.00001480 0.00000492 0.00023004
1683613508.480633 0.01401436 -0.00917149 0.00236129 -0.00001403 0.00000329 0.00023099
1683613508.547349 0.01410334 -0.00924023 0.00233603 -0.00001109 0.00000005 0.00023262
1683613508.614065 0.01426414 -0.00934788 0.00239879 -0.00001128 -0.00000619 0.00023122
1683613508.680782 0.01499298 -0.00987254 0.00266934 0.00001399 -0.00003538 0.00024880
1683613508.747498 0.01507158 -0.01011274 0.00223139 0.00001872 -0.00003821 0.00023743
1683613508.814215 0.01526700 -0.01027974 0.00224800 -0.00000483 -0.00001269 0.00021739
1683613508.880931 0.01544289 -0.01032790 0.00221777 -0.00001369 0.00000703 0.00022882
1683613508.947649 0.01624316 -0.01115714 0.00323875 0.00002140 -0.00005193 0.00024726
1683613509.014369 0.01704456 -0.01203000 0.00209685 0.00003744 -0.00006794 0.00026232
1683613509.081089 0.01722688 -0.01303412 0.00302706 0.00003077 -0.00008226 0.00023931
1683613509.147809 0.01725672 -0.01855486 0.00353916 0.00001041 -0.00017535 0.00022391
1683613509.214528 0.00501951 -0.03717047 0.00818988 0.00001705 -0.00060724 0.00009387
1683613509.281248 -0.00663742 -0.07251645 0.00743583 -0.00001705 -0.00110379 -0.00004196
1683613509.347968 -0.01718076 -0.12155488 0.00715148 -0.00005625 -0.00139577 0.00005668
